Date,S&P 500 Buy Hold
2016-01-04,10000.0
2016-01-05,10016.914082495892
2016-01-06,9890.5568876795
2016-01-07,9653.270289445089
2016-01-08,9547.308959955457
2016-01-11,9556.760154825732
2016-01-12,9633.869475801745
2016-01-13,9393.595926394913
2016-01-14,9547.804689674993
2016-01-15,9342.851882785068
2016-01-19,9355.289130766676
2016-01-20,9235.401568014657
2016-01-21,9287.134376880316
2016-01-22,9477.664322727233
2016-01-25,9334.394841537121
2016-01-26,9461.746189975844
2016-01-27,9358.772709719717
2016-01-28,9407.523057718387
2016-01-29,9636.851936668734
2016-02-01,9633.369255776779
2016-02-02,9459.756984670099
2016-02-03,9516.46684807501
2016-02-04,9531.39082720407
2016-02-05,9349.819040691153
2016-02-08,9223.95847365538
2016-02-09,9224.456897558175
2016-02-10,9216.497382151938
2016-02-11,9096.608921338833
2016-02-12,9284.15191601333
2016-02-16,9440.852798807378
2016-02-17,9595.066052392887
2016-02-18,9555.764205081234
2016-02-19,9551.287370566952
2016-02-22,9689.581593339983
2016-02-23,9567.209095562685
2016-02-24,9610.980592899932
2016-02-25,9727.390863126513
2016-02-26,9705.005792494008
2016-02-29,9628.893319323584
2016-03-01,9855.239737406942
2016-03-02,9899.512352830243
2016-03-03,9938.314878178016
2016-03-04,9970.650465644678
2016-03-07,9978.60908298983
2016-03-08,9869.666190694295
2016-03-09,9918.416538692967
2016-03-10,9926.375156038119
2016-03-11,10086.560515846293
2016-03-14,10073.62484396189
2016-03-15,10057.209185368793
2016-03-16,10115.415218543169
2016-03-17,10179.582581207178
2016-03-18,10219.585814227088
2016-03-21,10234.087704645674
2016-03-22,10228.587080493218
2016-03-23,10161.08431895538
2016-03-24,10156.583236791772
2016-03-28,10162.585877091366
2016-03-29,10256.587727097203
2016-03-30,10301.594956488949
2016-03-31,10276.592935851506
2016-04-01,10346.592307208746
2016-04-04,10313.092832574483
2016-04-05,10210.08792018034
2016-04-06,10321.593878815645
2016-04-07,10198.084435703326
2016-04-08,10225.586658404512
2016-04-11,10201.585975878086
2016-04-12,10296.590960117113
2016-04-13,10400.599006744444
2016-04-14,10401.099226769411
2016-04-15,10389.595962317362
2016-04-18,10462.602042190914
2016-04-19,10495.603092922383
2016-04-20,10505.603003116275
2016-04-21,10449.102387944431
2016-04-22,10449.102387944431
2016-04-25,10431.098059289996
2016-04-26,10446.600389758516
2016-04-27,10468.100870221195
2016-04-28,10373.09319179891
2016-04-29,10317.094592774203
2016-05-02,10399.097448608456
2016-05-03,10308.593546533039
2016-05-04,10251.088001005832
2016-05-05,10249.087120905968
2016-05-06,10286.591947984305
2016-05-09,10295.092096164384
2016-05-10,10423.098131134882
2016-05-11,10325.593842893195
2016-05-12,10328.593366920819
2016-05-13,10238.588786809281
2016-05-16,10339.594615225731
2016-05-17,10243.087174789633
2016-05-18,10246.089393000517
2016-05-19,10210.585446022042
2016-05-20,10275.090479654431
2016-05-23,10261.089707321898
2016-05-24,10394.095248358799
2016-05-25,10464.600228107523
2016-05-26,10467.601548257318
2016-05-27,10512.604287343633
2016-05-31,10492.600874711505
2016-06-01,10514.103151296356
2016-06-02,10546.105558100067
2016-06-03,10514.603371321322
2016-06-06,10568.1071566488
2016-06-07,10584.609029106165
2016-06-08,10619.110739912534
2016-06-09,10604.60615531069
2016-06-10,10504.10413916355
2016-06-13,10423.098131134884
2016-06-14,10402.59719266105
2016-06-15,10388.097098364635
2016-06-16,10419.096370935154
2016-06-17,10380.292947526295
2016-06-20,10447.143716715616
2016-06-21,10476.800387962396
2016-06-22,10459.712081615797
2016-06-23,10595.921904607956
2016-06-24,10215.43587394815
2016-06-27,10032.474786935012
2016-06-28,10213.422420993082
2016-06-29,10387.332848380353
2016-06-30,10529.072033479722
2016-07-01,10551.18858384748
2016-07-05,10475.29164533772
2016-07-06,10538.121795044504
2016-07-07,10531.588400643017
2016-07-08,10688.406929439345
2016-07-11,10726.103043529025
2016-07-12,10804.010740810594
2016-07-13,10802.503794308093
2016-07-14,10862.815780729412
2016-07-15,10848.243841546107
2016-07-18,10877.394904401404
2016-07-19,10866.336180186983
2016-07-20,10911.573313216773
2016-07-21,10870.360391913868
2016-07-22,10919.11433215688
2016-07-25,10889.456762849015
2016-07-26,10894.48500687017
2016-07-27,10882.925164569699
2016-07-28,10895.492631408792
2016-07-29,10913.08025971927
2016-08-01,10904.035886521004
2016-08-02,10834.170326265596
2016-08-03,10865.833265978756
2016-08-04,10877.3949044014
2016-08-05,10966.360427836304
2016-08-08,10959.827931495902
2016-08-09,10966.360427836302
2016-08-10,10939.218327630646
2016-08-11,10989.985720828732
2016-08-12,10980.435739238985
2016-08-15,11012.100475074316
2016-08-16,10955.29990749971
2016-08-17,10975.909511364966
