Asset,Effective Weight,Raw Optimizer Weight,Daily Exposure,Date,Strategy,Sleeve,Effective Weight %,Raw Optimizer Weight %,Last Exposure Date,Signal Source Close Date,Latest Cache Trading Date,Daily Exposure Variant
ORCL,0.07999999999999993,0.07999999999999993,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999993,7.999999999999993,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AMZN,0.07999999999999993,0.07999999999999993,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999993,7.999999999999993,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
MU,0.07999999999999989,0.07999999999999989,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999989,7.999999999999989,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
UNH,0.07999999999999981,0.07999999999999981,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.9999999999999805,7.9999999999999805,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
HOOD,0.07999999999999972,0.07999999999999972,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.9999999999999725,7.9999999999999725,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
INTC,0.0799999999999997,0.0799999999999997,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.99999999999997,7.99999999999997,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AVGO,0.07999999999999959,0.07999999999999959,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999958,7.999999999999958,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AMD,0.07999999999999957,0.07999999999999957,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999957,7.999999999999957,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
APP,0.07999999999999956,0.07999999999999956,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999956,7.999999999999956,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
GOOG,0.07999999999999943,0.07999999999999943,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999943,7.999999999999943,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
SMCI,0.07999999999999934,0.07999999999999934,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.999999999999933,7.999999999999933,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
AAPL,0.079999999999999,0.079999999999999,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,7.9999999999999005,7.9999999999999005,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
NVDA,0.03999999999999959,0.03999999999999959,1.0,2026-05-29,Mean Covariance Gold30 stock cap 8 mom_63 + asset-level daily exposure,US Equity,3.999999999999959,3.999999999999959,2026-05-29,2026-05-28,2026-05-29,Asset-level SPY/Gold/BTC trend
