,Best stock assets + Gold/BTC/BIL/IEF reoptimized Static Copula [US stock only] [mean_variance] max10 PIT reselect,Best stock assets + Gold/BTC/BIL/IEF reoptimized Dynamic HMM Copula [US stock only] [mean_variance] max10 PIT reselect
2017-12-29,10000.0,10000.0
2018-01-02,10050.92289241697,10050.92289241697
2018-01-03,10034.489771615474,10034.489771615474
2018-01-04,10063.708000410463,10063.708000410463
2018-01-05,10257.221907143497,10257.221907143497
2018-01-08,10138.560963097403,10138.560963097403
2018-01-09,10122.637817035136,10122.637817035136
2018-01-10,10150.97150652754,10150.97150652754
2018-01-11,10101.45433679169,10101.45433679169
2018-01-12,10239.42718573035,10239.427185730348
2018-01-15,10198.5663216022,10198.566321602199
2018-01-16,9991.516952785845,9991.516952785843
2018-01-17,10107.019924468155,10107.019924468152
2018-01-18,10155.216457486982,10155.21645748698
2018-01-19,10165.25916885521,10165.259168855207
2018-01-22,10204.493041510208,10204.493041510204
2018-01-23,10244.505847886785,10244.505847886783
2018-01-24,10270.406013165413,10270.406013165411
2018-01-25,10232.188377945813,10232.18837794581
2018-01-26,10397.989460783985,10397.989460783983
2018-01-29,10370.128449143805,10370.128449143804
2018-01-30,10180.084986168758,10180.084986168757
2018-01-31,10238.886948876665,10238.886948876661
2018-02-01,10006.560065284099,10006.560065284097
2018-02-02,9850.6526526591,9850.652652659099
2018-02-05,9187.059626063763,9187.059626063763
2018-02-06,9575.674078131213,9575.674078131211
2018-02-07,9580.764294704637,9580.764294704637
2018-02-08,9316.617148525262,9316.61714852526
2018-02-09,9551.155523865094,9551.155523865094
2018-02-12,9631.168417052202,9631.168417052202
2018-02-13,9663.657101751553,9663.65710175155
2018-02-14,9881.427298818333,9881.427298818331
2018-02-15,10104.75569042796,10104.755690427957
2018-02-16,10091.899671380197,10091.899671380195
2018-02-19,10191.619952989104,10191.619952989102
2018-02-20,10147.360951528985,10147.360951528983
2018-02-21,10035.93911129862,10035.939111298618
2018-02-22,9987.372638793066,9987.372638793064
2018-02-23,10111.016864728203,10111.016864728197
2018-02-26,10217.811480817678,10217.811480817674
2018-02-27,10058.918894268489,10058.918894268485
2018-02-28,10007.11030879134,10007.110308791336
2018-03-01,9824.761842543976,9824.825003093425
2018-03-02,9907.728354812238,9907.088687625177
2018-03-05,10101.062779114884,10099.670102606264
2018-03-06,10172.725581349416,10169.847696585026
2018-03-07,10189.072850076382,10191.10582913199
2018-03-08,10205.789896714723,10205.377863373958
2018-03-09,10388.1117169152,10381.994827020764
2018-03-12,10449.615167960614,10442.09237989821
2018-03-13,10321.704190197279,10316.812003997915
2018-03-14,10291.753682226328,10285.435387949812
2018-03-15,10253.344724938712,10247.749950202791
2018-03-16,10288.008695594188,10282.29874816855
2018-03-19,10154.233751011752,10149.089108609738
2018-03-20,10251.267256929757,10242.882249723725
2018-03-21,10233.958239647669,10226.992503963987
2018-03-22,9889.158271776632,9883.609601401768
2018-03-23,9642.689778125907,9637.395316242251
2018-03-26,9997.434685718126,9986.858705544086
2018-03-27,9555.448319005127,9542.877895248592
2018-03-28,9399.738029210548,9385.562240682631
2018-03-29,9648.767932971576,9634.853158034328
2018-03-30,9631.492894583604,9617.603032492523
2018-04-02,9254.266393347913,9240.920540803081
2018-04-03,9425.91763616383,9412.324240261329
2018-04-04,9512.499584573863,9498.781326270886
2018-04-05,9551.704442113618,9537.929645320659
2018-04-06,9305.383929162896,9291.96435850077
2018-04-09,9344.705435641368,9331.22915826636
2018-04-10,9630.059521103656,9616.171726123062
2018-04-11,9576.14699300804,9562.336946886158
2018-04-12,9772.692418376106,9758.598928256199
2018-04-13,9717.568569247314,9703.554574868172
2018-04-16,9741.660477517675,9727.611739481754
2018-04-17,10046.34466499897,10031.85653284297
2018-04-18,10119.343932469112,10104.750525900412
2018-04-19,10006.555454312718,9992.124703359737
2018-04-20,9916.861586807876,9902.560186046365
2018-04-23,9866.540487013648,9852.311655805379
2018-04-24,9694.673699339995,9680.69272233304
2018-04-25,9676.111956071136,9662.157747505686
2018-04-26,9988.468709117511,9974.064041597201
2018-04-27,10011.101318030014,9996.664011351892
2018-04-30,9895.072176574586,9880.802198969019
2018-05-01,9986.102470556381,9971.70121545901
2018-05-02,9944.064470578205,9929.72383972971
