,current_best country_only bucket5% top1 boost16,current_best country_only bucket5% top2 boost16,current_best country_only bucket5% top3 boost16,current_best country_only bucket8% top1 boost16,current_best country_only bucket8% top2 boost16,current_best country_only bucket8% top3 boost16,current_best country_only bucket10% top1 boost16,current_best country_only bucket10% top2 boost16,current_best country_only bucket10% top3 boost16,current_best momentum_core bucket5% top1 boost16,current_best momentum_core bucket5% top2 boost16,current_best momentum_core bucket5% top3 boost16,current_best momentum_core bucket8% top1 boost16,current_best momentum_core bucket8% top2 boost16,current_best momentum_core bucket8% top3 boost16,current_best momentum_core bucket10% top1 boost16,current_best momentum_core bucket10% top2 boost16,current_best momentum_core bucket10% top3 boost16,current_best sector_only bucket5% top1 boost16,current_best sector_only bucket5% top2 boost16,current_best sector_only bucket5% top3 boost16,current_best sector_only bucket8% top1 boost16,current_best sector_only bucket8% top2 boost16,current_best sector_only bucket8% top3 boost16,current_best sector_only bucket10% top1 boost16,current_best sector_only bucket10% top2 boost16,current_best sector_only bucket10% top3 boost16,current_best momentum_sector bucket5% top1 boost16,current_best momentum_sector bucket5% top2 boost16,current_best momentum_sector bucket5% top3 boost16,current_best momentum_sector bucket8% top1 boost16,current_best momentum_sector bucket8% top2 boost16,current_best momentum_sector bucket8% top3 boost16,current_best momentum_sector bucket10% top1 boost16,current_best momentum_sector bucket10% top2 boost16,current_best momentum_sector bucket10% top3 boost16,current_best momentum_country bucket5% top1 boost16,current_best momentum_country bucket5% top2 boost16,current_best momentum_country bucket5% top3 boost16,current_best momentum_country bucket8% top1 boost16,current_best momentum_country bucket8% top2 boost16,current_best momentum_country bucket8% top3 boost16,current_best momentum_country bucket10% top1 boost16,current_best momentum_country bucket10% top2 boost16,current_best momentum_country bucket10% top3 boost16,current_best sector_country bucket5% top1 boost16,current_best sector_country bucket5% top2 boost16,current_best sector_country bucket5% top3 boost16,current_best sector_country bucket8% top1 boost16,current_best sector_country bucket8% top2 boost16,current_best sector_country bucket8% top3 boost16,current_best sector_country bucket10% top1 boost16,current_best sector_country bucket10% top2 boost16,current_best sector_country bucket10% top3 boost16,current_best momentum_sector_country bucket5% top1 boost16,current_best momentum_sector_country bucket5% top2 boost16,current_best momentum_sector_country bucket5% top3 boost16,current_best momentum_sector_country bucket8% top1 boost16,current_best momentum_sector_country bucket8% top2 boost16,current_best momentum_sector_country bucket8% top3 boost16,current_best momentum_sector_country bucket10% top1 boost16,current_best momentum_sector_country bucket10% top2 boost16,current_best momentum_sector_country bucket10% top3 boost16,current_best all_with_region bucket5% top1 boost16,current_best all_with_region bucket5% top2 boost16,current_best all_with_region bucket5% top3 boost16,current_best all_with_region bucket8% top1 boost16,current_best all_with_region bucket8% top2 boost16,current_best all_with_region bucket8% top3 boost16,current_best all_with_region bucket10% top1 boost16,current_best all_with_region bucket10% top2 boost16,current_best all_with_region bucket10% top3 boost16
2016-10-01,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767,10006.966938000767
2016-10-02,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339,10001.929182935339
2016-10-03,9988.618105756497,9987.045831764448,9987.568835407794,9991.226235213175,9988.710596825897,9989.54740265525,9992.964988184292,9989.820440200196,9990.866447486886,9984.699288925143,9984.353826699149,9984.195340652368,9984.95612828301,9984.403388721417,9984.149811046569,9985.127354521586,9984.436430069596,9984.119457976036,9981.586223421295,9983.352828933788,9984.202508953733,9979.97522347685,9982.801792296843,9984.161280328753,9978.901223513887,9982.434434538878,9984.133794578765,9981.586223421295,9983.142756173218,9983.431292273197,9979.97522347685,9982.465675879928,9982.927333639895,9978.901223513887,9982.014289017736,9982.591361217694,9988.618105756497,9987.045831764448,9987.568835407794,9991.226235213175,9988.710596825897,9989.54740265525,9992.964988184292,9989.820440200196,9990.866447486886,9981.586223421295,9985.102164588894,9985.22596231673,9979.97522347685,9985.600729345013,9985.798805709548,9978.901223513887,9985.93310584909,9986.180701304758,9981.586223421295,9985.102164588894,9985.22596231673,9979.97522347685,9985.600729345013,9985.798805709548,9978.901223513887,9985.93310584909,9986.180701304758,9981.586223421295,9985.102164588894,9985.22596231673,9979.97522347685,9985.600729345013,9985.798805709548,9978.901223513887,9985.93310584909,9986.180701304758
2016-10-04,9854.568302927919,9847.028508226404,9846.612345241136,9863.567784728966,9851.500897936003,9850.834978965459,9869.56930320543,9854.483015322108,9853.650568113831,9832.909642831373,9836.495387833356,9837.309877269025,9828.909163355293,9834.646621997037,9835.949846206053,9826.242055472338,9833.414100973321,9835.043165494546,9837.374992212786,9837.619316840128,9838.26019328937,9836.053899348077,9836.44502645131,9837.470344095711,9835.173122948749,9835.662204910703,9836.943781404208,9837.374992212786,9835.1429047227,9836.788811493261,9836.053899348077,9832.483034585273,9835.116283279625,9835.173122948749,9830.709938013026,9834.001330432178,9854.568302927919,9847.028508226404,9846.612345241136,9863.567784728966,9851.500897936003,9850.834978965459,9869.56930320543,9854.483015322108,9853.650568113831,9837.374992212786,9845.96984130521,9843.810150488538,9836.053899348077,9849.806217999758,9846.350569596045,9835.173122948749,9852.363988016521,9848.044308264345,9837.374992212786,9845.96984130521,9843.810150488538,9836.053899348077,9849.806217999758,9846.350569596045,9835.173122948749,9852.363988016521,9848.044308264345,9837.374992212786,9845.96984130521,9843.810150488538,9836.053899348077,9849.806217999758,9846.350569596045,9835.173122948749,9852.363988016521,9848.044308264345
2016-10-05,9888.87421982785,9882.164832084822,9882.298979623502,9898.414841121981,9887.67659310791,9887.891480202015,9904.777642742083,9891.352142897204,9891.620961005994,9870.50937838524,9871.792494190968,9872.30575826576,9869.022328429648,9871.077754046908,9871.899236257645,9868.02969613115,9870.601011859673,9871.628081038521,9872.395025465741,9874.509228384273,9874.310477549561,9872.041937542836,9875.42455237304,9875.106792480643,9871.80635243144,9876.034529479564,9875.637530791064,9872.395025465741,9871.453085974159,9871.99356651268,9872.041937542836,9870.534396437222,9871.39973372982,9871.80635243144,9869.921561221772,9871.00370646509,9888.87421982785,9882.164832084822,9882.298979623502,9898.414841121981,9887.67659310791,9887.891480202015,9904.777642742083,9891.352142897204,9891.620961005994,9872.395025465741,9880.633148199886,9878.907691113298,9872.041937542836,9885.224614544577,9882.46366187417,9871.80635243144,9888.286099268542,9884.83472398365,9872.395025465741,9880.633148199886,9878.907691113298,9872.041937542836,9885.224614544577,9882.46366187417,9871.80635243144,9888.286099268542,9884.83472398365,9872.395025465741,9880.633148199886,9878.907691113298,9872.041937542836,9885.224614544577,9882.46366187417,9871.80635243144,9888.286099268542,9884.83472398365
2016-10-06,9861.51436670894,9855.892478257492,9856.308879804074,9869.91470696379,9860.918629054562,9861.585367550611,9875.516121258333,9864.270144140162,9865.103980708005,9847.275913077705,9847.841883671503,9846.946742119142,9847.126764195833,9848.03511237297,9846.603313078613,9847.025845234215,9848.163610405772,9846.374217358376,9849.443488923853,9850.508130011733,9849.706369305391,9850.597845173159,9852.301522633281,9851.018840164352,9851.367163369207,9853.496970031034,9851.893729183785,9849.443488923853,9848.360569307193,9848.37596653568,9850.597845173159,9848.864528130514,9848.889905745773,9851.367163369207,9849.199979042012,9849.232319499395,9861.51436670894,9855.892478257492,9856.308879804074,9869.91470696379,9860.918629054562,9861.585367550611,9875.516121258333,9864.270144140162,9865.103980708005,9849.443488923853,9855.479277708715,9853.743002332514,9850.597845173159,9860.257172608566,9857.478847143448,9851.367163369207,9863.443044007472,9859.96989977899,9849.443488923853,9855.479277708715,9853.743002332514,9850.597845173159,9860.257172608566,9857.478847143448,9851.367163369207,9863.443044007472,9859.96989977899,9849.443488923853,9855.479277708715,9853.743002332514,9850.597845173159,9860.257172608566,9857.478847143448,9851.367163369207,9863.443044007472,9859.96989977899
2016-10-07,9842.335297562566,9840.383629913968,9842.424983623629,9847.33730790408,9844.219653668242,9847.487627317183,9850.669967676575,9846.77707986411,9850.863553681844,9832.463628458683,9833.845054082014,9833.670101935384,9831.543936148271,9833.756962695958,9833.477466587077,9830.929336968878,9833.697908348284,9833.34889435839,9837.955727445154,9837.420406720696,9834.923048931274,9840.334602031826,9839.478086610845,9835.482052184281,9841.920425644697,9840.849779645394,9835.854518367085,9837.955727445154,9835.21036201183,9835.215401948444,9840.334602031826,9835.941020515595,9835.949825195816,9841.920425644697,9836.427618151043,9836.439241407083,9842.335297562566,9840.383629913968,9842.424983623629,9847.33730790408,9844.219653668242,9847.487627317183,9850.669967676575,9846.77707986411,9850.863553681844,9837.955727445154,9840.148211158728,9839.575099605738,9840.334602031826,9843.842865317709,9842.926609488622,9841.920425644697,9846.30599594987,9845.161278523972,9837.955727445154,9840.148211158728,9839.575099605738,9840.334602031826,9843.842865317709,9842.926609488622,9841.920425644697,9846.30599594987,9845.161278523972,9837.955727445154,9840.148211158728,9839.575099605738,9840.334602031826,9843.842865317709,9842.926609488622,9841.920425644697,9846.30599594987,9845.161278523972
2016-10-08,9845.504322166802,9843.55202612234,9845.594037104886,9850.507943050261,9847.389284995443,9850.65831086305,9853.841675868991,9849.947534628665,9854.035324204873,9835.629474593447,9837.011345006724,9836.83633652919,9834.709486161488,9836.923225257096,9836.643639156358,9834.094689094107,9836.864151895166,9836.515025530123,9841.123341920083,9840.58784883363,9838.089686947615,9843.502982454253,9842.64619125335,9838.648870187892,9845.089316668917,9844.018325944156,9839.021456296958,9841.123341920083,9838.37709253693,9838.382134096297,9843.502982454253,9839.107986297338,9839.11679381248,9845.089316668917,9839.594740606974,9839.606367605456,9845.504322166802,9843.55202612234,9845.594037104886,9850.507943050261,9847.389284995443,9850.65831086305,9853.841675868991,9849.947534628665,9854.035324204873,9841.123341920083,9843.316531567221,9842.743235484384,9843.502982454253,9847.012375327,9846.095824482842,9845.089316668917,9849.476299035328,9848.331213034538,9841.123341920083,9843.316531567221,9842.743235484384,9843.502982454253,9847.012375327,9846.095824482842,9845.089316668917,9849.476299035328,9848.331213034538,9841.123341920083,9843.316531567221,9842.743235484384,9843.502982454253,9847.012375327,9846.095824482842,9845.089316668917,9849.476299035328,9848.331213034538
2016-10-09,9841.757708294366,9839.806155177761,9841.847389092276,9846.75942509706,9843.641953818169,9846.909735688792,9850.091889295187,9846.199229933607,9850.285463940021,9831.886618501181,9833.267963056696,9833.09302117699,9830.96698016215,9833.17987684021,9832.900397133328,9830.352417049999,9833.12082595809,9832.771832449796,9837.378395188387,9836.84310587878,9834.345894644726,9839.75713017278,9838.900665015697,9834.90486509309,9841.34286072291,9840.272277553579,9835.277309418027,9837.378395188387,9834.633190864553,9834.638230505403,9839.75713017278,9835.36380649023,9835.372610653756,9841.34286072291,9835.8503755701,9835.861998144039,9841.757708294366,9839.806155177761,9841.847389092276,9846.75942509706,9843.641953818169,9846.909735688792,9850.091889295187,9846.199229933607,9850.285463940021,9837.378395188387,9839.570750237877,9838.99767231746,9839.75713017278,9843.265187579147,9842.348985519775,9841.34286072291,9845.728173664533,9844.583523415427,9837.378395188387,9839.570750237877,9838.99767231746,9839.75713017278,9843.265187579147,9842.348985519775,9841.34286072291,9845.728173664533,9844.583523415427,9837.378395188387,9839.570750237877,9838.99767231746,9839.75713017278,9843.265187579147,9842.348985519775,9841.34286072291,9845.728173664533,9844.583523415427
2016-10-10,9885.278989233568,9879.501267676314,9879.358792002833,9895.9744350251,9886.730939714918,9886.504111109029,9903.105908740965,9891.552261195036,9891.26966998592,9868.400000250398,9868.972448975926,9867.916383720894,9868.96130313369,9869.880322467272,9868.191046192152,9869.333874054617,9870.485233565783,9868.37399512767,9867.320528377964,9871.426672523956,9868.062185663992,9867.2362447012,9873.807841973727,9868.42419356793,9867.17929903537,9875.395267899818,9868.665316282713,9867.320528377964,9867.861870601442,9868.42246904247,9867.2362447012,9868.102887044597,9869.000653724885,9867.17929903537,9868.263014380918,9869.385897057513,9885.278989233568,9879.501267676314,9879.358792002833,9895.9744350251,9886.730939714918,9886.504111109029,9903.105908740965,9891.552261195036,9891.26966998592,9867.320528377964,9876.30095827093,9875.441260230355,9867.2362447012,9881.608415956089,9880.23332050945,9867.17929903537,9885.14741597449,9883.428898140079,9867.320528377964,9876.30095827093,9875.441260230355,9867.2362447012,9881.608415956089,9880.23332050945,9867.17929903537,9885.14741597449,9883.428898140079,9867.320528377964,9876.30095827093,9875.441260230355,9867.2362447012,9881.608415956089,9880.23332050945,9867.17929903537,9885.14741597449,9883.428898140079
