Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,Cash / Reduced Exposure,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.25,1.0,1.1102230246251565e-14,25.0,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
GC=F,GC=F,Gold,1.0,0.3,0.3,0.15,0.5,30.0,15.0,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
Kioxia Holdings Corporation,285A0,JP Equity,0.15,0.19999999999999998,0.029999999999999995,0.029999999999999995,1.0,2.9999999999999996,2.9999999999999996,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
ADVANTEST CORPORATION,68570,JP Equity,0.15,0.19999999999999998,0.029999999999999995,0.029999999999999995,1.0,2.9999999999999996,2.9999999999999996,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
Tokyo Electron Limited,80350,JP Equity,0.15,0.19999999999999998,0.029999999999999995,0.029999999999999995,1.0,2.9999999999999996,2.9999999999999996,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
"Furukawa Electric Co.,Ltd.",58010,JP Equity,0.1499999999999999,0.19999999999999998,0.029999999999999978,0.029999999999999978,1.0,2.999999999999998,2.999999999999998,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
SoftBank Group Corp.,99840,JP Equity,0.14999999999999988,0.19999999999999998,0.029999999999999975,0.029999999999999975,1.0,2.9999999999999973,2.9999999999999973,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
Fujikura Ltd.,58030,JP Equity,0.1499999999999993,0.19999999999999998,0.029999999999999857,0.029999999999999857,1.0,2.999999999999986,2.999999999999986,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
DISCO CORPORATION,61460,JP Equity,0.10000000000000066,0.19999999999999998,0.02000000000000013,0.02000000000000013,1.0,2.000000000000013,2.000000000000013,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
TISCO.BK,TISCO.BK,TH Equity,0.08,0.19999999999999998,0.016,0.016,1.0,1.6,1.6,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
SCB.BK,SCB.BK,TH Equity,0.07999999999999999,0.19999999999999998,0.015999999999999997,0.015999999999999997,1.0,1.5999999999999996,1.5999999999999996,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
ORCL,ORCL,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
UNH,UNH,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
V,V,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
AMZN,AMZN,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
TSLA,TSLA,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
BAC,BAC,US Equity,0.07999999999999995,0.19999999999999998,0.015999999999999986,0.015999999999999986,1.0,1.5999999999999988,1.5999999999999988,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
