Date,US Equity,TH Equity,JP Equity,Gold,BTC,Cash / Reduced Exposure,Strategy,JP Sleeve Mode,JP Assets,JP Internal Cap
2024-07-01,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-02,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-03,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-04,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-05,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-08,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-09,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-10,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-11,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-12,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-15,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-16,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-17,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-18,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-19,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-22,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-23,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-24,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-25,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
2024-07-26,0.6,0.0,0.0,0.3,0.1,1.1102230246251565e-16,Stock60/Gold30/BTC10 Index signal assigns equity to active markets,JP optimized mean_variance top10 cap15%,10,0.15
