Asset,Effective Weight,Date,Strategy,Case
Cash / Reduced Exposure,0.14999999999999925,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
GC=F,0.14999999999999905,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
COST,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
INTC,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
MU,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
WMT,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
XOM,0.0799999999999995,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
PTTEP.BK,0.05193646403210815,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
TOP.BK,0.050455930465336966,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
IVL.BK,0.049742660412193454,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
HANA.BK,0.04974147919201824,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
DELTA.BK,0.04953464935890687,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
PTTGC.BK,0.04858881653943783,2026-04-29,One-model US cap 70% / TH cap 30% stockcap8 penalty0.02 assets30 + daily exposure,Baseline
GC=F,0.14999999999999852,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
Cash / Reduced Exposure,0.14999999999999836,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
COST,0.06999999999999933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
INTC,0.06999999999999933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
MU,0.06999999999999933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
WMT,0.06999999999999933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
XOM,0.06999999999999933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
PTTEP.BK,0.05111425664448922,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
TOP.BK,0.05028052958363685,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
NFLX,0.050000000000001765,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
IVL.BK,0.04984099606377648,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
HANA.BK,0.04980516294710789,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
DELTA.BK,0.049733775654193096,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
PTTGC.BK,0.049225279106798366,2026-04-29,One-model US cap 70% / TH cap 30% stockcap7 penalty0.02 assets30 + daily exposure,Stock cap 7%
GC=F,0.14999999999999947,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets30 + daily exposure,Stock cap 6%
Cash / Reduced Exposure,0.14999999999999947,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets30 + daily exposure,Stock cap 6%
WMT,0.05999999999999968,2026-04-29,One-model US cap 70% / TH cap 30% stockcap6 penalty0.02 assets30 + daily exposure,Stock cap 6%
