,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure
2017-05-31,10000.0,10000.0,10000.0,10000.0
2017-06-01,10078.887679895957,10078.88767999516,10078.887679895957,10078.88767999516
2017-06-02,10205.65702701192,10205.657027073936,10205.65702701192,10205.657027073936
2017-06-03,10216.647849027966,10216.647849090052,10216.647849027966,10216.647849090052
2017-06-04,10215.209984274785,10215.209984336861,10215.209984274785,10215.209984336861
2017-06-05,10278.490700487595,10278.49070053152,10278.490700487595,10278.49070053152
2017-06-06,10339.370211896703,10339.370212010681,10339.370211896703,10339.370212010681
2017-06-07,10296.100553872071,10296.10055402992,10296.100553872071,10296.10055402992
2017-06-08,10334.450659068423,10334.450659190365,10334.450659068423,10334.450659190365
2017-06-09,10212.595830275088,10212.595830460214,10212.595830275088,10212.595830460214
2017-06-10,10257.405488141289,10257.405488327227,10257.405488141289,10257.405488327227
2017-06-11,10261.024518542514,10261.024518728518,10261.024518542514,10261.024518728518
2017-06-12,10096.74158788548,10096.741588064273,10096.74158788548,10096.741588064273
2017-06-13,10164.548083271507,10164.548083422003,10164.548083271507,10164.548083422003
2017-06-14,10036.68319795033,10036.683198119243,10036.68319795033,10036.683198119243
2017-06-15,9945.64618780473,9945.64618799473,9945.64618780473,9945.64618799473
2017-06-16,9974.731685637984,9974.731685857974,9974.731685637984,9974.731685857974
2017-06-17,10029.117063386959,10029.117063608148,10029.117063386959,10029.117063608148
2017-06-18,9988.48905363459,9988.489053854884,9988.48905363459,9988.489053854884
2017-06-19,10080.244193331904,10080.244193558765,10080.244193331904,10080.244193558765
2017-06-20,10061.428927713934,10061.428927964866,10061.428927713934,10061.428927964866
2017-06-21,10095.923094221542,10095.923094504651,10095.923094221542,10095.923094504651
2017-06-22,10097.782920929667,10097.782921276397,10097.782920929667,10097.782921276397
2017-06-23,10113.775024948773,10113.775025192605,10113.775024948773,10113.775025192605
2017-06-24,10063.595074708244,10063.595074950868,10063.595074708244,10063.595074950868
2017-06-25,10056.145880745735,10056.145880988179,10056.145880745735,10056.145880988179
2017-06-26,9980.631920742178,9980.631920995926,9980.631920742178,9980.631920995926
2017-06-27,9926.301202373223,9926.301202627936,9926.301202373223,9926.301202627936
2017-06-28,10020.863375012425,10020.863375235505,10020.863375012425,10020.863375235505
2017-06-29,9895.566558606299,9895.56655889697,9895.566558606299,9895.56655889697
2017-06-30,9832.051323918518,9832.051324239344,9832.051323918518,9832.051324239344
2017-07-01,9813.705681969639,9813.705682289867,9813.705681969639,9813.705682289867
2017-07-02,9842.696704203552,9842.696704524726,9842.696704203552,9842.696704524726
2017-07-03,9797.27118143063,9797.27118175032,9797.27118143063,9797.27118175032
2017-07-04,9829.85199369491,9829.851994015664,9829.85199369491,9829.851994015664
2017-07-05,9905.65114282225,9905.651143145476,9905.65114282225,9905.651143145476
2017-07-06,9869.579824141645,9869.579824463695,9869.579824141645,9869.579824463695
2017-07-07,9887.93352960757,9887.933529930218,9887.93352960757,9887.933529930218
2017-07-08,9908.615086253969,9908.615086577292,9908.615086253969,9908.615086577292
2017-07-09,9888.230105208924,9888.230105531584,9888.230105208924,9888.230105531584
2017-07-10,9937.94718140483,9937.947181729112,9937.94718140483,9937.947181729112
2017-07-11,9948.075763494657,9948.075763819272,9948.075763494657,9948.075763819272
2017-07-12,9996.61685254348,9996.616852869678,9996.61685254348,9996.616852869678
