,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure
2017-05-31,10000.0
2017-06-01,10078.887680536998
2017-06-02,10205.657027412692
2017-06-03,10216.647849429173
2017-06-04,10215.209984675932
2017-06-05,10278.490700771443
2017-06-06,10339.370212633228
2017-06-07,10296.10055489207
2017-06-08,10334.4506598564
2017-06-09,10212.595831471363
2017-06-10,10257.405489342813
2017-06-11,10261.024519744462
2017-06-12,10096.741589040816
2017-06-13,10164.54808424398
2017-06-14,10036.68319904182
2017-06-15,9945.646189032464
2017-06-16,9974.73168705953
2017-06-17,10029.117064816255
2017-06-18,9988.489055058097
2017-06-19,10080.244194797842
2017-06-20,10061.428929335421
2017-06-21,10095.923096050945
2017-06-22,10097.782923170173
2017-06-23,10113.775026524356
2017-06-24,10063.595076276013
2017-06-25,10056.145882312345
2017-06-26,9980.631922381834
2017-06-27,9926.30120401913
2017-06-28,10020.8633764539
2017-06-29,9895.566560484549
2017-06-30,9832.051325991632
2017-07-01,9813.705684038883
2017-07-02,9842.69670627891
2017-07-03,9797.271183496408
2017-07-04,9829.85199576756
2017-07-05,9905.651144910882
2017-07-06,9869.57982622267
2017-07-07,9887.933531692466
2017-07-08,9908.615088343226
2017-07-09,9888.230107293883
2017-07-10,9937.947183500271
2017-07-11,9948.075765592235
2017-07-12,9996.616854651293
2017-07-13,9938.863836583778
2017-07-14,10001.216329225766
2017-07-15,10001.216329225766
2017-07-16,10001.216329225766
2017-07-17,9956.975725936907
2017-07-18,9945.913206795947
2017-07-19,9948.954100631376
2017-07-20,9985.434315795806
2017-07-21,9936.856150446434
2017-07-22,9989.882356095928
2017-07-23,9961.542088261085
2017-07-24,9897.107768176427
2017-07-25,9846.2942829838
2017-07-26,9865.511231148474
2017-07-27,9828.209259936417
2017-07-28,9869.963586162014
2017-07-29,9840.954619687745
2017-07-30,9852.046418498387
2017-07-31,9859.926190670634
2017-08-01,9863.832737611167
2017-08-02,9862.687264578
2017-08-03,9892.113746824713
2017-08-04,9932.514967648618
2017-08-05,10054.968058728935
2017-08-06,10042.922173006406
2017-08-07,10097.278551396827
2017-08-08,10109.343292086973
2017-08-09,10012.866988776701
2017-08-10,9907.655508606205
2017-08-11,9959.969166016588
2017-08-12,10023.835784590528
2017-08-13,10072.487929683326
2017-08-14,10212.528007646704
2017-08-15,10180.34147795607
2017-08-16,10245.244489422072
2017-08-17,10117.094060309922
2017-08-18,10047.11055086042
2017-08-19,10055.098763977496
2017-08-20,10029.67382964959
2017-08-21,9989.655306066516
2017-08-22,10094.642215396545
2017-08-23,10098.531544919102
2017-08-24,10203.11414861644
2017-08-25,10197.755431137793
2017-08-26,10193.276547167323
2017-08-27,10200.414927762888
2017-08-28,10237.958078035384
2017-08-29,10363.85397786039
2017-08-30,10439.950079270277
2017-08-31,10600.106760701205
2017-09-01,10653.306653490261
2017-09-02,10585.09258133843
2017-09-03,10586.061202114453
2017-09-04,10480.66679597569
2017-09-05,10475.378800080618
2017-09-06,10541.604997235609
2017-09-07,10586.41277879658
2017-09-08,10457.801545847058
2017-09-09,10457.136316798367
2017-09-10,10431.61985211299
2017-09-11,10522.337414195714
2017-09-12,10515.996759444713
2017-09-13,10430.538596037208
2017-09-14,10218.5498161158
2017-09-15,10248.909943732046
2017-09-16,10248.909943732046
2017-09-17,10248.909943732046
2017-09-18,10267.61923464033
2017-09-19,10231.05669305344
2017-09-20,10223.811360430484
2017-09-21,10146.269389005192
2017-09-22,10149.449922016698
2017-09-23,10149.449922016698
2017-09-24,10149.449922016698
2017-09-25,10071.138412277083
2017-09-26,10076.364644664149
2017-09-27,10127.380237736685
2017-09-28,10129.110863061824
2017-09-29,10182.995812857975
2017-09-30,10225.957926209328
2017-10-01,10241.284989923863
2017-10-02,10337.612718252609
2017-10-03,10392.885035122354
2017-10-04,10312.643665583877
2017-10-05,10390.685678767402
2017-10-06,10401.206674029909
2017-10-07,10414.552037361977
2017-10-08,10457.742763181133
2017-10-09,10548.800663529975
2017-10-10,10627.766547775482
2017-10-11,10617.066376587389
2017-10-12,10706.00119972233
2017-10-13,10754.059128170791
2017-10-14,10789.208964776284
2017-10-15,10760.79190004105
2017-10-16,10854.400077056413
2017-10-17,10843.290945417748
