Date,TH Tactical Weight,US Count,TH Count,US Selected,TH Selected
2017-05-31,0.0,50,0,"AAPL,AMGN,AMZN,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DAL,DIS,GE,GILD,GM,GOOG,GS,HAL,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2017-06-30,0.0,50,0,"AAPL,AMGN,AMZN,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DAL,DIS,GE,GILD,GM,GOOG,GS,HAL,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2017-07-31,0.3,50,50,"AAPL,AMGN,AMZN,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DAL,DIS,GE,GILD,GOOG,GS,HAL,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","AAV.BK,ADVANC.BK,AOT.BK,BA.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,EA.BK,EGCO.BK,HMPRO.BK,IRPC.BK,ITD.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TKN.BK,TOP.BK,TPIPL.BK,TRUE.BK,TU.BK,UNIQ.BK,WHA.BK"
2017-08-31,0.0,50,0,"AAPL,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DAL,DIS,GE,GILD,GOOG,GS,HAL,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2017-09-30,0.3,50,50,"AAPL,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DAL,DIS,GE,GILD,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,LOW,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","AAV.BK,ADVANC.BK,AOT.BK,BA.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,EA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IRPC.BK,ITD.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TKN.BK,TOP.BK,TPIPL.BK,TRUE.BK,TU.BK,WHA.BK"
2017-10-31,0.3,50,50,"AAPL,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CSCO,CVS,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","AAV.BK,ADVANC.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,EA.BK,EGCO.BK,HMPRO.BK,IRPC.BK,ITD.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TISCO.BK,TKN.BK,TOP.BK,TPIPL.BK,TRUE.BK,TU.BK,WHA.BK"
2017-11-30,0.3,50,50,"AAPL,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CRM,CSCO,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","AAV.BK,ADVANC.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BPP.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,EA.BK,EGCO.BK,HMPRO.BK,IRPC.BK,ITD.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TISCO.BK,TKN.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2017-12-31,0.0,50,0,"AAPL,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CMG,CRM,CSCO,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM",
2018-01-31,0.3,50,50,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CSCO,CVS,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BPP.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HANA.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TISCO.BK,TKN.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2018-02-28,0.3,50,50,"AAPL,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BKNG,BRK-B,C,CHTR,CMCSA,CSCO,CVS,CVX,DIS,GE,GILD,GM,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SBUX,SLB,T,UNH,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BH.BK,BJC.BK,BPP.BK,BTS.BK,CBG.BK,CK.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,HANA.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,SAWAD.BK,SCC.BK,SPRC.BK,SUPER.BK,TASCO.BK,TCAP.BK,THAI.BK,TISCO.BK,TKN.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
