Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
GC=F,Gold,0.14999999999999983,0.29999999999999966,0.5,14.999999999999982,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
Cash / Reduced Exposure,Cash / Reduced Exposure,0.1499999999999997,0.0,1.0,14.999999999999968,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
APP,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
CAT,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
INTC,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
HOOD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
AMD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
LRCX,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
LLY,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
CRWD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
CSCO,US Equity,0.049999999999999704,0.049999999999999704,1.0,4.999999999999971,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
QCOM,US Equity,0.04999999999999967,0.04999999999999967,1.0,4.999999999999967,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
GE,US Equity,0.04999999999999961,0.04999999999999961,1.0,4.999999999999961,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
MU,US Equity,0.049999999999999156,0.049999999999999156,1.0,4.999999999999916,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
AMAT,US Equity,0.04999999999999892,0.04999999999999892,1.0,4.999999999999892,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
UNH,US Equity,0.029960748802499826,0.029960748802499826,1.0,2.9960748802499824,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
TSLA,US Equity,0.020039251197500337,0.020039251197500337,1.0,2.0039251197500336,2026-07-01,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25%,2026-07-01,2026-06-30
