Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,0.19173056634918528,0.0,1.0,19.173056634918527,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
GC=F,Gold,0.10826943365081412,0.21653886730162825,0.5,10.826943365081412,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
BAC,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
AMAT,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
JNJ,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
CSCO,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
CRWD,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
NOW,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
WFC,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
LRCX,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
AMD,US Equity,0.049999999999999815,0.049999999999999815,1.0,4.999999999999981,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
LLY,US Equity,0.049999999999999815,0.049999999999999815,1.0,4.999999999999981,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
HOOD,US Equity,0.04999999999999979,0.04999999999999979,1.0,4.999999999999979,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
GE,US Equity,0.04999999999999979,0.04999999999999979,1.0,4.999999999999979,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
MU,US Equity,0.049999999999999725,0.049999999999999725,1.0,4.9999999999999725,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
C,US Equity,0.04999999999999927,0.04999999999999927,1.0,4.999999999999927,2026-07-14,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-14,2026-07-13
