Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
GC=F,Gold,0.14999999999999983,0.29999999999999966,0.5,14.999999999999982,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
Cash / Reduced Exposure,Cash / Reduced Exposure,0.1499999999999997,0.0,1.0,14.999999999999968,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
GS,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
LRCX,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
CRWD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
GE,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
CSCO,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
AMD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
HOOD,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
JNJ,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
UNH,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
HD,US Equity,0.04999999999999994,0.04999999999999994,1.0,4.999999999999994,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
LLY,US Equity,0.04999999999999989,0.04999999999999989,1.0,4.999999999999989,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
MU,US Equity,0.04999999999999981,0.04999999999999981,1.0,4.9999999999999805,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
AMAT,US Equity,0.049999999999999795,0.049999999999999795,1.0,4.99999999999998,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
BAC,US Equity,0.04999999999999869,0.04999999999999869,1.0,4.999999999999869,2026-07-03,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 US segment cap 30%,2026-07-03,2026-07-02
