,One-model US cap 70% / TH cap 30% stockcap5 pure + daily exposure
2017-12-29,10000.0
2018-01-02,10065.55944982996
2018-01-03,10099.745341043783
2018-01-04,10133.817607553805
2018-01-05,10309.90952875501
2018-01-08,10181.26350105351
2018-01-09,10153.40266910009
2018-01-10,10205.045551118586
2018-01-11,10117.83987456566
2018-01-12,10217.398250238302
2018-01-15,10176.625293502208
2018-01-16,9980.863702124845
2018-01-17,10067.345248111333
2018-01-18,10105.387058003955
2018-01-19,10126.911015677057
2018-01-22,10128.406724484106
2018-01-23,10169.867156919054
2018-01-24,10213.43523910185
2018-01-25,10164.448691584423
2018-01-26,10240.628799020744
2018-01-29,10192.095388092697
2018-01-30,10110.555136675079
2018-01-31,10156.64130697155
2018-02-01,10096.20819048042
2018-02-02,9962.5004349092
2018-02-05,9618.390256688
2018-02-06,9769.367062281588
2018-02-07,9764.02728327386
2018-02-08,9513.751694634619
2018-02-09,9634.60375943284
2018-02-12,9735.645000215576
2018-02-13,9771.834615997426
2018-02-14,9827.180998930487
2018-02-15,9959.024389244838
2018-02-16,9926.24428852827
2018-02-19,9933.399534190788
2018-02-20,9903.256547334346
2018-02-21,9888.258496100632
2018-02-22,9900.701205477686
2018-02-23,10019.999868627041
2018-02-26,10196.089520562813
2018-02-27,10069.446379432087
2018-02-28,10042.842796178575
2018-03-01,9901.548124797066
2018-03-02,9910.87471601334
2018-03-05,10031.13149045699
2018-03-06,10062.600286974672
2018-03-07,10095.181888479097
2018-03-08,10097.559097724587
2018-03-09,10229.491842970163
2018-03-12,10245.386502221085
2018-03-13,10167.929310592503
2018-03-14,10133.8478540433
2018-03-15,10110.734862776613
2018-03-16,10137.331759643266
2018-03-19,9989.825487602835
2018-03-20,10041.861074779317
2018-03-21,10027.469428510942
2018-03-22,9797.566139790099
2018-03-23,9631.728541072313
2018-03-26,9748.594708136903
2018-03-27,9607.10416113168
2018-03-28,9558.574955469554
2018-03-29,9654.026785211074
2018-03-30,9647.97722639019
2018-04-02,9540.832190684065
2018-04-03,9593.017476393932
2018-04-04,9626.09945687895
2018-04-05,9635.485428238386
2018-04-06,9561.352991269068
2018-04-09,9577.558377929634
2018-04-10,9662.714167813108
2018-04-11,9642.836754148366
2018-04-12,9696.110181948718
2018-04-13,9679.38368197027
2018-04-16,9684.715739603624
2018-04-17,9764.862143588027
2018-04-18,9782.945952041415
2018-04-19,9756.654366962475
2018-04-20,9729.527528043041
2018-04-23,9669.738472400482
2018-04-24,9630.273573933522
2018-04-25,9618.021662525769
2018-04-26,9700.466468907103
2018-04-27,9708.2921765871
2018-04-30,9664.806114757446
2018-05-01,9680.62101092565
2018-05-02,9681.341857985735
2018-05-03,9714.833549090126
2018-05-04,9735.1844362026
2018-05-07,9776.874535980938
2018-05-08,9785.573224830054
2018-05-09,9829.371138598854
2018-05-10,9885.982444801699
2018-05-11,9820.8302378498
2018-05-14,9826.707244189643
2018-05-15,9757.08563960085
2018-05-16,9845.224949679572
2018-05-17,9774.12787331492
2018-05-18,9764.973147395827
2018-05-21,9848.552978562262
2018-05-22,9874.801912471727
2018-05-23,9895.749997489893
2018-05-24,9940.788560398067
2018-05-25,9940.11378611297
2018-05-28,9916.412989879882
2018-05-29,9909.904899297364
2018-05-30,9945.368494729326
2018-05-31,9875.10283386062
2018-06-01,9991.882172664453
2018-06-04,10040.998407443465
2018-06-05,10068.999919319447
2018-06-06,10135.832503483238
2018-06-07,10065.459709711733
2018-06-08,10137.250209879307
2018-06-11,10159.579332203146
2018-06-12,10160.356479400458
2018-06-13,10192.977423056498
2018-06-14,10253.028911244599
2018-06-15,10183.5273863786
2018-06-18,10350.947082572598
2018-06-19,10305.603717027718
2018-06-20,10342.292405976827
2018-06-21,10283.822405910785
2018-06-22,10270.722757275693
2018-06-25,10048.643773151567
2018-06-26,10098.090220234806
2018-06-27,10000.710788499153
2018-06-28,10037.324959780966
2018-06-29,10057.648101728884
2018-07-02,10071.348017860719
2018-07-03,10037.575098572515
2018-07-04,10035.153894622912
2018-07-05,10118.297654149927
2018-07-06,10220.810198036304
2018-07-09,10287.221060960146
2018-07-10,10291.401888686163
2018-07-11,10295.154749451429
2018-07-12,10408.310451183053
2018-07-13,10342.863242257808
2018-07-16,10388.823125107949
2018-07-17,10366.99842786762
2018-07-18,10387.048979629744
2018-07-19,10358.037064622707
2018-07-20,10370.132703310248
2018-07-23,10413.529118422919
2018-07-24,10561.016248099686
2018-07-25,10588.16674780608
2018-07-26,10596.581982826261
2018-07-27,10613.268147898058
2018-07-30,10513.109295275779
2018-07-31,10399.847087743065
2018-08-01,10352.236090906863
2018-08-02,10368.719925119678
2018-08-03,10402.950998161084
2018-08-06,10366.922960055024
2018-08-07,10429.9619373124
2018-08-08,10385.15841889147
2018-08-09,10370.162724939697
2018-08-10,10325.651735226113
2018-08-13,10318.779289487777
2018-08-14,10359.504485086061
2018-08-15,10229.636357954338
2018-08-16,10275.04880202625
2018-08-17,10247.886356708714
2018-08-20,10304.930945295764
2018-08-21,10298.255360576119
2018-08-22,10254.03510081894
2018-08-23,10277.124498661757
2018-08-24,10455.347345988514
2018-08-27,10473.82280521083
2018-08-28,10487.075001233388
2018-08-29,10545.050521340247
2018-08-30,10526.383878713359
2018-08-31,10563.07396763208
2018-09-03,10567.586827511699
2018-09-04,10593.603535100145
2018-09-05,10596.002431933997
2018-09-06,10557.213114332239
2018-09-07,10535.232621307174
2018-09-10,10587.404066441979
2018-09-11,10622.566222673113
2018-09-12,10648.655021349967
2018-09-13,10644.426865149208
2018-09-14,10641.12695846052
2018-09-17,10601.37517193237
2018-09-18,10642.363983235453
2018-09-19,10612.628386997336
2018-09-20,10601.572224473808
2018-09-21,10592.993700554498
2018-09-24,10599.999168949405
2018-09-25,10587.24500212692
2018-09-26,10567.136312443643
2018-09-27,10607.297706587422
2018-09-28,10658.725488416758
2018-10-01,10687.822196132047
2018-10-02,10640.175382573298
2018-10-03,10641.380401261484
2018-10-04,10622.939731683844
2018-10-05,10609.123638530944
2018-10-08,10573.533783415267
2018-10-09,10643.24429294248
2018-10-10,10315.003728844948
2018-10-11,10224.007077417002
2018-10-12,10263.4059342966
2018-10-15,10194.277140424307
2018-10-16,10380.299473449966
2018-10-17,10335.945745715037
2018-10-18,10231.556977606868
2018-10-19,10204.782347057706
2018-10-22,10228.474011818007
2018-10-23,10238.676149284038
2018-10-24,10097.175048968991
2018-10-25,10181.714689267525
2018-10-26,10084.9960789347
2018-10-29,10025.63327892817
2018-10-30,10125.686913929712
2018-10-31,10193.297296249151
2018-11-01,10204.068910179458
2018-11-02,10156.512335137655
2018-11-05,10171.82586770323
2018-11-06,10209.644919295522
2018-11-07,10323.696742825863
2018-11-08,10315.446704886732
2018-11-09,10338.792114970425
2018-11-12,10209.833793074306
2018-11-13,10200.060935439995
2018-11-14,10153.106017992886
2018-11-15,10192.978481311951
2018-11-16,10203.978945300547
2018-11-19,10141.493359477823
2018-11-20,10066.882206935985
2018-11-21,10081.900265606208
2018-11-22,10075.262980459986
2018-11-23,10057.709086241452
2018-11-26,10103.653581282024
2018-11-27,10116.103985250322
2018-11-28,10195.593569937504
2018-11-29,10192.086260431277
2018-11-30,10217.164228921856
2018-12-03,10319.53323755142
2018-12-04,10074.895205808667
2018-12-06,10056.4635343349
2018-12-07,10007.082136977253
