Asset,Effective Weight,Date,Strategy,Case
GC=F,0.04999999999999957,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
Cash / Reduced Exposure,0.04999999999999949,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
MRK,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
XOM,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
COST,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
TXN,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
MU,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
AMAT,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
LRCX,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
JNJ,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
INTC,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
GEV,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
CVX,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
WMT,0.04999999999999919,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
PTTEP.BK,0.043426048869313866,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
BCP.BK,0.043182126931276654,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 Baseline + daily exposure,Baseline
