Asset,Internal Weight,Sleeve,Sleeve Multiplier,Effective Weight,Internal Weight Date,Date,Strategy,Raw Sleeve Weight,Daily Exposure,Effective Weight %
Cash / Reduced Exposure,1.0,Cash / Reduced Exposure,0.22499999999999998,0.22499999999999998,2026-07-03,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.22499999999999998,1.0,22.499999999999996
GC=F,1.0,Gold,0.125,0.125,2026-07-03,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.25,0.5,12.5
AMD,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
APP,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
BAC,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
GEV,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
GS,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
HOOD,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
INTC,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
LLY,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
MU,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
TSLA,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
UNH,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
V,0.07999999999999995,US Equity,0.65,0.05199999999999997,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999997
AAPL,0.03999999999999936,US Equity,0.65,0.025999999999999586,2026-06-30,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,2.599999999999959
BTC-USD,1.0,BTC,0.0,0.0,2026-07-03,2026-07-03,Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.1,0.0,0.0
