,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-18%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-18%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-10%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-12%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-15%/exp50% recover-5% no panic,Gold25 crash DD126 warn-8%/exp75% crash-18%/exp50% recover-5% no panic
2006-12-29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2007-01-03,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034,9767.763324516034
2007-01-04,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595,9806.227751851595
2007-01-05,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271,9724.93129942271
2007-01-08,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779,9739.776545355779
2007-01-09,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007,9849.203896645007
2007-01-10,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804,9852.764271234804
2007-01-11,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848,9826.709984319848
2007-01-12,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944,9958.924352339944
2007-01-15,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839,9959.924978760839
2007-01-16,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948,9934.616229764948
2007-01-17,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133,9932.596904423133
2007-01-18,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594,9645.125464493594
2007-01-19,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642,9752.543775056642
