,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2006-12-29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2007-01-03,9718.039743240724,9718.039743240724,9718.039743240724,9718.039743240724,9740.478445762801,9740.478445762801,9740.478445762801,9740.478445762801
2007-01-04,9743.391241508154,9743.391241508154,9743.391241508154,9743.391241508154,9801.331076018223,9801.331076018223,9801.331076018223,9801.331076018223
2007-01-05,9650.523435692481,9650.523435692481,9650.523435692481,9650.523435692481,9742.763472041828,9742.763472041828,9742.763472041828,9742.763472041828
2007-01-08,9680.460204067134,9680.460204067134,9680.460204067134,9680.460204067134,9764.11680758315,9764.11680758315,9764.11680758315,9764.11680758315
2007-01-09,9798.797207195816,9798.797207195816,9798.797207195816,9798.797207195816,9893.456544540104,9893.456544540104,9893.456544540104,9893.456544540104
2007-01-10,9802.157107488832,9802.157107488832,9802.157107488832,9802.157107488832,9915.095659477764,9915.095659477764,9915.095659477764,9915.095659477764
2007-01-11,9738.330608166123,9738.330608166123,9738.330608166123,9738.330608166123,9863.518769372065,9863.518769372065,9863.518769372065,9863.518769372065
2007-01-12,9894.21014689962,9894.21014689962,9894.21014689962,9894.21014689962,10006.341478900102,10006.341478900102,10006.341478900102,10006.341478900102
2007-01-15,9895.314729386715,9895.314729386715,9895.314729386715,9895.314729386715,10007.458579648253,10007.458579648253,10007.458579648253,10007.458579648253
2007-01-16,9851.691192972427,9851.691192972427,9851.691192972427,9851.691192972427,9968.732086282338,9968.732086282338,9968.732086282338,9968.732086282338
2007-01-17,9861.357448041206,9861.357448041206,9861.357448041206,9861.357448041206,9951.20588932156,9951.20588932156,9951.20588932156,9951.20588932156
2007-01-18,9541.011268645043,9541.011268645043,9541.011268645043,9541.011268645043,9609.00702793148,9609.00702793148,9609.00702793148,9609.00702793148
2007-01-19,9653.378326166447,9653.378326166447,9653.378326166447,9653.378326166447,9711.11498835465,9711.11498835465,9711.11498835465,9711.11498835465
2007-01-22,9601.150978977505,9601.150978977505,9601.150978977505,9601.150978977505,9644.238340376984,9644.238340376984,9644.238340376984,9644.238340376984
2007-01-23,9673.790275890336,9673.790275890336,9673.790275890336,9673.790275890336,9693.885869780885,9693.885869780885,9693.885869780885,9693.885869780885
2007-01-24,9809.35983305383,9809.35983305383,9809.35983305383,9809.35983305383,9861.037112045764,9861.037112045764,9861.037112045764,9861.037112045764
2007-01-25,9373.489005522673,9373.489005522673,9373.489005522673,9373.489005522673,9404.656827935793,9404.656827935793,9404.656827935793,9404.656827935793
2007-01-26,9063.129981167098,9063.129981167098,9063.129981167098,9063.129981167098,9107.717725970651,9107.717725970651,9107.717725970651,9107.717725970651
2007-01-29,9333.421173577995,9333.421173577995,9333.421173577995,9333.421173577995,9377.410614506092,9377.410614506092,9377.410614506092,9377.410614506092
2007-01-30,9384.621074422175,9384.621074422175,9384.621074422175,9384.621074422175,9429.18339347506,9429.18339347506,9429.18339347506,9429.18339347506
2007-01-31,9627.376207530962,9627.376207530962,9627.376207530962,9627.376207530962,9673.09931090605,9673.09931090605,9673.09931090605,9673.09931090605
2007-02-01,9734.610657810952,9734.610657810952,9734.610657810952,9734.610657810952,9741.197269785935,9741.197269785935,9741.197269785935,9741.197269785935
2007-02-02,9668.300576240841,9668.300576240841,9668.300576240841,9668.300576240841,9688.21728069772,9688.21728069772,9688.21728069772,9688.21728069772
2007-02-05,9582.500415019595,9582.500415019595,9582.500415019595,9582.500415019595,9569.087135714362,9569.087135714362,9569.087135714362,9569.087135714362
2007-02-06,9434.056560405761,9434.056560405761,9434.056560405761,9434.056560405761,9422.83910652275,9422.83910652275,9422.83910652275,9422.83910652275
2007-02-07,9542.493202602564,9542.493202602564,9542.493202602564,9542.493202602564,9529.707118070286,9529.707118070286,9529.707118070286,9529.707118070286
