Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,0.19752589681479749,0.0,1.0,19.752589681479748,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
GC=F,Gold,0.1024741031852023,0.2049482063704046,0.5,10.24741031852023,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
BAC,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
MU,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
JNJ,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
CSCO,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
CRWD,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
NOW,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
AMAT,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
WFC,US Equity,0.049999999999999885,0.049999999999999885,1.0,4.9999999999999885,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
LRCX,US Equity,0.04999999999999987,0.04999999999999987,1.0,4.999999999999987,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
HOOD,US Equity,0.049999999999999864,0.049999999999999864,1.0,4.999999999999987,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
GS,US Equity,0.04999999999999975,0.04999999999999975,1.0,4.999999999999975,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
GE,US Equity,0.049999999999999746,0.049999999999999746,1.0,4.999999999999974,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
AMD,US Equity,0.04999999999999967,0.04999999999999967,1.0,4.999999999999967,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
LLY,US Equity,0.049999999999999496,0.049999999999999496,1.0,4.999999999999949,2026-07-12,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-12,2026-07-11
