Asset,Portfolio Weight,Equity Sleeve Weight,Sleeve,Date
GOLD,0.3,,Overlay,2026-04-30
BTC,0.1,,Overlay,2026-04-30
DELTA.BK,0.036,0.06,TH Equity,2026-04-30
UNH,0.036,0.06,US Equity,2026-04-30
TTB.BK,0.036,0.06,TH Equity,2026-04-30
SCC.BK,0.036,0.06,TH Equity,2026-04-30
QCOM,0.036,0.06,US Equity,2026-04-30
PTTGC.BK,0.036,0.06,TH Equity,2026-04-30
MU,0.036,0.06,US Equity,2026-04-30
KTB.BK,0.036,0.06,TH Equity,2026-04-30
KCE.BK,0.036,0.06,TH Equity,2026-04-30
INTC,0.036,0.06,US Equity,2026-04-30
IVL.BK,0.036,0.06,TH Equity,2026-04-30
PTTEP.BK,0.03599999999999999,0.05999999999999999,TH Equity,2026-04-30
NFLX,0.03599999999999999,0.05999999999999999,US Equity,2026-04-30
AMD,0.03599999999999996,0.059999999999999935,US Equity,2026-04-30
AVGO,0.035999999999999956,0.05999999999999993,US Equity,2026-04-30
XOM,0.02363651658668668,0.03939419431114447,US Equity,2026-04-30
TRUE.BK,0.022562184677927838,0.03760364112987973,TH Equity,2026-04-30
GOOGL,0.013801298735385131,0.02300216455897522,US Equity,2026-04-30
NVDA,1.1081722011495996e-16,1.846953668582666e-16,US Equity,2026-04-30
GOOG,8.82555107583968e-17,1.4709251793066134e-16,US Equity,2026-04-30
AAPL,5.45273736423611e-17,9.087895607060184e-17,US Equity,2026-04-30
TOP.BK,5.288085245415072e-17,8.813475409025121e-17,TH Equity,2026-04-30
BA,3.790005719878893e-17,6.316676199798156e-17,US Equity,2026-04-30
CPF.BK,3.5225258124559814e-17,5.870876354093302e-17,TH Equity,2026-04-30
AMZN,3.2572610236088803e-17,5.428768372681467e-17,US Equity,2026-04-30
BH.BK,2.9009059701248094e-17,4.834843283541349e-17,TH Equity,2026-04-30
GPSC.BK,2.6905342306458348e-17,4.484223717743058e-17,TH Equity,2026-04-30
MA,2.060488162027962e-17,3.43414693671327e-17,US Equity,2026-04-30
TSLA,1.215125412061884e-17,2.0252090201031402e-17,US Equity,2026-04-30
CPN.BK,1.0861161029328518e-17,1.8101935048880864e-17,TH Equity,2026-04-30
MTC.BK,4.946441187455955e-18,8.244068645759925e-18,TH Equity,2026-04-30
DIS,3.2307433563582233e-18,5.384572260597039e-18,US Equity,2026-04-30
HMPRO.BK,1.4320911668956993e-18,2.3868186114928322e-18,TH Equity,2026-04-30
MSFT,1.0154568984794235e-18,1.6924281641323726e-18,US Equity,2026-04-30
META,1.7408766677498043e-19,2.9014611129163406e-19,US Equity,2026-04-30
AOT.BK,0.0,0.0,TH Equity,2026-04-30
CPALL.BK,0.0,0.0,TH Equity,2026-04-30
CBG.BK,0.0,0.0,TH Equity,2026-04-30
C,0.0,0.0,US Equity,2026-04-30
CRM,0.0,0.0,US Equity,2026-04-30
V,0.0,0.0,US Equity,2026-04-30
WFC,0.0,0.0,US Equity,2026-04-30
WMT,0.0,0.0,US Equity,2026-04-30
BRK-B,0.0,0.0,US Equity,2026-04-30
ADVANC.BK,0.0,0.0,TH Equity,2026-04-30
SAWAD.BK,0.0,0.0,TH Equity,2026-04-30
BDMS.BK,0.0,0.0,TH Equity,2026-04-30
BEM.BK,0.0,0.0,TH Equity,2026-04-30
ADBE,0.0,0.0,US Equity,2026-04-30
PTT.BK,0.0,0.0,TH Equity,2026-04-30
EA.BK,0.0,0.0,TH Equity,2026-04-30
HD,0.0,0.0,US Equity,2026-04-30
BAC,0.0,0.0,US Equity,2026-04-30
MINT.BK,0.0,0.0,TH Equity,2026-04-30
BANPU.BK,0.0,0.0,TH Equity,2026-04-30
BBL.BK,0.0,0.0,TH Equity,2026-04-30
KBANK.BK,0.0,0.0,TH Equity,2026-04-30
JPM,0.0,0.0,US Equity,2026-04-30
JNJ,0.0,0.0,US Equity,2026-04-30
BGRIM.BK,0.0,0.0,TH Equity,2026-04-30
