Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,Cash / Reduced Exposure,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.25,1.0,1.1102230246251565e-14,25.0,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
GC=F,GC=F,Gold,1.0,0.3,0.3,0.15,0.5,30.0,15.0,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
ADVANTEST CORPORATION,68570,JP Equity,0.15000000000000005,0.19999999999999998,0.030000000000000006,0.030000000000000006,1.0,3.0000000000000004,3.0000000000000004,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
"Mitsubishi UFJ Financial Group,Inc.",83060,JP Equity,0.15000000000000005,0.19999999999999998,0.030000000000000006,0.030000000000000006,1.0,3.0000000000000004,3.0000000000000004,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
"Furukawa Electric Co.,Ltd.",58010,JP Equity,0.15000000000000002,0.19999999999999998,0.030000000000000002,0.030000000000000002,1.0,3.0000000000000004,3.0000000000000004,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
SoftBank Group Corp.,99840,JP Equity,0.15000000000000002,0.19999999999999998,0.030000000000000002,0.030000000000000002,1.0,3.0000000000000004,3.0000000000000004,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
Tokyo Electron Limited,80350,JP Equity,0.15,0.19999999999999998,0.029999999999999995,0.029999999999999995,1.0,2.9999999999999996,2.9999999999999996,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
Kioxia Holdings Corporation,285A0,JP Equity,0.14999999999999997,0.19999999999999998,0.029999999999999992,0.029999999999999992,1.0,2.999999999999999,2.999999999999999,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
DISCO CORPORATION,61460,JP Equity,0.0999999999999995,0.19999999999999998,0.0199999999999999,0.0199999999999999,1.0,1.99999999999999,1.99999999999999,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
TISCO.BK,TISCO.BK,TH Equity,0.08000000000000002,0.19999999999999998,0.016,0.016,1.0,1.6,1.6,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
