Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,0.09999999999999976,0.0,1.0,9.999999999999975,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
GC=F,Gold,0.09999999999999971,0.19999999999999943,0.5,9.999999999999972,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
BTC-USD,BTC,0.0999999999999996,0.0999999999999996,1.0,9.999999999999961,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
HOOD,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
LLY,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
WFC,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
CRWD,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
BKNG,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
JNJ,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
MU,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
AMAT,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
AMD,US Equity,0.0499999999999998,0.0499999999999998,1.0,4.9999999999999805,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
CSCO,US Equity,0.049999999999999795,0.049999999999999795,1.0,4.99999999999998,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
C,US Equity,0.04999999999999976,0.04999999999999976,1.0,4.999999999999976,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
GE,US Equity,0.04999999999999975,0.04999999999999975,1.0,4.999999999999975,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
BAC,US Equity,0.04999999999999955,0.04999999999999955,1.0,4.999999999999956,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
NOW,US Equity,0.04999999999999938,0.04999999999999938,1.0,4.999999999999938,2026-07-15,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50,2026-07-15,2026-07-14
