Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,0.19999999999999973,0.0,1.0,19.99999999999997,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
GC=F,Gold,0.09999999999999985,0.1999999999999997,0.5,9.999999999999986,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
MU,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
TXN,US Equity,0.04999999999999995,0.04999999999999995,1.0,4.999999999999995,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
KO,US Equity,0.049999999999999926,0.049999999999999926,1.0,4.999999999999993,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
QCOM,US Equity,0.04999999999999992,0.04999999999999992,1.0,4.999999999999992,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
AMD,US Equity,0.04999999999999991,0.04999999999999991,1.0,4.999999999999991,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
GEV,US Equity,0.049999999999999885,0.049999999999999885,1.0,4.9999999999999885,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
GOOG,US Equity,0.04999999999999988,0.04999999999999988,1.0,4.999999999999988,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
C,US Equity,0.049999999999999864,0.049999999999999864,1.0,4.999999999999987,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
INTC,US Equity,0.049999999999999815,0.049999999999999815,1.0,4.999999999999981,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
LLY,US Equity,0.049999999999999815,0.049999999999999815,1.0,4.999999999999981,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
TSLA,US Equity,0.049999999999999725,0.049999999999999725,1.0,4.9999999999999725,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
UNH,US Equity,0.04999999999999963,0.04999999999999963,1.0,4.999999999999963,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
BA,US Equity,0.04999999999999929,0.04999999999999929,1.0,4.999999999999929,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
BAC,US Equity,0.030528883939109505,0.030528883939109505,1.0,3.0528883939109503,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
BRK-B,US Equity,0.019471116060891334,0.019471116060891334,1.0,1.9471116060891334,2026-06-18,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25% + daily exposure,US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 combined segment cap 25%,2026-06-18,2026-06-17
