Strategy,Date,TH Signal On,US Count,TH Count,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Weight,TH Weight,Gold Weight,BTC Weight,Cash Weight,Raw Max Stock Weight,Case
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2007-12-31,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000028,0.3000000000000016,0.29999999999999566,0.0,0.0,0.049999999999999815,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-01-31,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000011,0.30000000000000066,0.2999999999999983,0.0,0.0,0.0499999999999998,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-02-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000015,0.0,0.29999999999999843,0.0,0.0,0.04999999999999984,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-03-31,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000002,0.30000000000000354,0.2999999999999962,0.0,0.0,0.04999999999999937,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-04-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.2999999999999997,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-05-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000002,0.0,0.2999999999999996,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-06-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000023,0.0,0.2999999999999979,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-07-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000021,0.0,0.2999999999999978,0.0,0.0,0.04999999999999984,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-08-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-09-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000011,0.0,0.299999999999999,0.0,0.0,0.049999999999999906,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-10-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000015,0.0,0.29999999999999855,0.0,0.0,0.049999999999999906,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-11-28,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000023,0.0,0.29999999999999793,0.0,0.0,0.04999999999999987,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2008-12-31,True,50,50,0.7,0.3,0.05,0.02,0.3999999999999973,0.3000000000000071,0.29999999999999555,0.0,0.0,0.04999999999999907,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2009-01-30,True,50,50,0.7,0.3,0.05,0.02,0.40000000000000013,0.30000000000000127,0.29999999999999855,0.0,0.0,0.04999999999999976,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2009-02-27,True,50,50,0.7,0.3,0.05,0.02,0.4000000000000019,0.300000000000003,0.299999999999995,0.0,0.0,0.04999999999999917,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2009-03-31,True,50,50,0.7,0.3,0.05,0.02,0.6499999999999968,0.30000000000000504,0.04999999999999831,0.0,0.0,0.04999999999999858,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2009-04-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000016,0.0,0.2999999999999985,0.0,0.0,0.049999999999999906,Stock cap 5%
