Asset,Sleeve,Effective Weight,Raw Optimizer Weight,Daily Exposure,Effective Weight %,Date,Strategy,Case,Last Exposure Date,Signal Source Close Date
Cash / Reduced Exposure,Cash / Reduced Exposure,0.1499999999999999,0.0,1.0,14.999999999999991,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
GC=F,Gold,0.14999999999999986,0.2999999999999997,0.5,14.999999999999986,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
AAPL,US Equity,0.07999999999999993,0.07999999999999993,1.0,7.999999999999993,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
INTC,US Equity,0.07999999999999993,0.07999999999999993,1.0,7.999999999999993,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
JPM,US Equity,0.07999999999999993,0.07999999999999993,1.0,7.999999999999993,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
GOOG,US Equity,0.07999999999999986,0.07999999999999986,1.0,7.999999999999987,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
AMD,US Equity,0.07999999999999985,0.07999999999999985,1.0,7.999999999999985,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
LLY,US Equity,0.0799999999999998,0.0799999999999998,1.0,7.99999999999998,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
UNH,US Equity,0.07999999999999978,0.07999999999999978,1.0,7.999999999999978,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
MU,US Equity,0.07999999999999971,0.07999999999999971,1.0,7.999999999999971,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
TSLA,US Equity,0.05999999999999998,0.05999999999999998,1.0,5.999999999999997,2026-06-17,One-model US cap 70% / TH cap 30% + daily exposure,US cap 70% / TH cap 30%,2026-06-17,2026-06-16
