Asset,Internal Weight,Sleeve,Sleeve Multiplier,Effective Weight,Internal Weight Date,Date,Strategy,Raw Sleeve Weight,Daily Exposure,Effective Weight %
GC=F,1.0,Gold,0.3,0.3,2026-07-14,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.3,1.0,30.0
Cash / Reduced Exposure,1.0,Cash / Reduced Exposure,0.10000000000000009,0.10000000000000009,2026-07-14,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.10000000000000009,1.0,10.000000000000009
APP,0.07999999999999961,US Equity,0.42,0.03359999999999984,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.359999999999984
UNH,0.07999999999999954,US Equity,0.42,0.03359999999999981,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999812
GEV,0.07999999999999952,US Equity,0.42,0.0335999999999998,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.35999999999998
INTC,0.07999999999999946,US Equity,0.42,0.03359999999999977,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.359999999999977
MU,0.07999999999999942,US Equity,0.42,0.033599999999999755,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999755
GS,0.07999999999999935,US Equity,0.42,0.03359999999999973,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.359999999999973
BAC,0.07999999999999927,US Equity,0.42,0.03359999999999969,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999692
HOOD,0.07999999999999922,US Equity,0.42,0.03359999999999967,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.359999999999967
V,0.0799999999999992,US Equity,0.42,0.033599999999999665,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999666
TSLA,0.07999999999999904,US Equity,0.42,0.033599999999999595,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999595
AMD,0.07999999999999882,US Equity,0.42,0.033599999999999505,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.3599999999999506
LLY,0.07999999999999863,US Equity,0.42,0.03359999999999942,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,3.359999999999942
AAPL,0.039999999999997475,US Equity,0.42,0.016799999999998937,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.42,1.0,1.6799999999998938
AOT.BK,0.07999999999999995,TH Equity,0.18,0.01439999999999999,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.18,1.0,1.4399999999999988
BBL.BK,0.07999999999999995,TH Equity,0.18,0.01439999999999999,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.18,1.0,1.4399999999999988
KBANK.BK,0.07999999999999995,TH Equity,0.18,0.01439999999999999,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.18,1.0,1.4399999999999988
KTB.BK,0.07999999999999995,TH Equity,0.18,0.01439999999999999,2026-06-30,2026-07-14,Tactical TH/Gold/BTC 60/30/10 asset-level daily exposure,0.18,1.0,1.4399999999999988
