Asset,Internal Weight,Sleeve,Sleeve Multiplier,Effective Weight,Internal Weight Date,Date,Strategy,Raw Sleeve Weight,Daily Exposure,Effective Weight %
Cash / Reduced Exposure,1.0,Cash / Reduced Exposure,0.22499999999999998,0.22499999999999998,2026-07-01,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.22499999999999998,1.0,22.499999999999996
GC=F,1.0,Gold,0.125,0.125,2026-07-01,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.25,0.5,12.5
AMD,0.07999999999999993,US Equity,0.65,0.051999999999999956,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999996
GEV,0.07999999999999988,US Equity,0.65,0.05199999999999992,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999992
GS,0.07999999999999981,US Equity,0.65,0.05199999999999988,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999988
BAC,0.07999999999999967,US Equity,0.65,0.05199999999999979,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999979
V,0.07999999999999964,US Equity,0.65,0.05199999999999977,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999977
LLY,0.07999999999999956,US Equity,0.65,0.05199999999999971,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999971
HOOD,0.07999999999999946,US Equity,0.65,0.05199999999999965,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999965
TSLA,0.07999999999999938,US Equity,0.65,0.051999999999999595,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999959
UNH,0.07999999999999922,US Equity,0.65,0.0519999999999995,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.1999999999999496
APP,0.07999999999999913,US Equity,0.65,0.051999999999999436,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999943
INTC,0.0799999999999991,US Equity,0.65,0.051999999999999415,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.199999999999942
MU,0.0799999999999985,US Equity,0.65,0.051999999999999026,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,5.1999999999999025
AAPL,0.040000000000001396,US Equity,0.65,0.026000000000000908,2026-06-30,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.65,1.0,2.6000000000000907
BTC-USD,1.0,BTC,0.0,0.0,2026-07-01,2026-07-01,Final Best Sharpe Tactical TH/Gold/BTC 65/25/10 Gold crash protection,0.1,0.0,0.0
